"Studiengang","Monatsbudget"
"BWL",840
"VWL",1000
"VWL",1000
"VWL",650
"VWL",1200
"BWL",250
"VWL",850
"BWL",812
"BWL",400
"VWL",900
"VWL",400
"BWL",1350
"BWL",1000
"BWL",450
"BWL",700
"VWL",1200
"BWL",520
"BWL",200
"VWL",1265
"BWL",800
"BWL",410
"BWL",700
"BWL",300
"BWL",370
"BWL",500
"VWL",800
"VWL",300
"VWL",1100
"BWL",750
"BWL",500
"BWL",50
"VWL",1000
"BWL",730
"BWL",250
"BWL",1400
"BWL",400
"BWL",700
"BWL",700
"BWL",700
"BWL",450
"VWL",300
"BWL",940
"VWL",700
"VWL",250
"BWL",650
"BWL",400
"BWL",865
"BWL",377
"BWL",1200
"BWL",1141
"VWL",400
"BWL",1000
"BWL",1400
"VWL",812
"BWL",400
"BWL",1600
"BWL",1200
"VWL",1000
"BWL",450
"BWL",1250
"BWL",1000
"VWL",1100
"BWL",850
"VWL",1400
"BWL",1200
"BWL",950
"BWL",934
"BWL",500
"BWL",2000
"VWL",300
"BWL",620
"VWL",3000
"BWL",820
"BWL",600
"VWL",1100
"BWL",970
"BWL",500
"VWL",1100
"BWL",1000
"VWL",400
"BWL",1400
"VWL",450
"VWL",375
"VWL",500
"BWL",800
"BWL",750
"BWL",560
"BWL",1000
"BWL",1000
"VWL",900
"BWL",450
"BWL",860
"VWL",700
"VWL",800
"BWL",100
"BWL",800
"BWL",700
"BWL",850
"BWL",1000
"BWL",990
"BWL",1000
"BWL",1400
"VWL",500
"BWL",815
"BWL",600
"BWL",300
"BWL",450
"VWL",750
"BWL",1500
"VWL",1200
"VWL",300
"BWL",600
"VWL",700
"BWL",700
"BWL",1000
"BWL",1200
"BWL",650
"BWL",1100
"BWL",850
"BWL",800
"VWL",300
"BWL",1894
"BWL",400
"BWL",500
"BWL",1000
"BWL",1000
"BWL",300
"BWL",100
"BWL",1000
"BWL",600
"BWL",1100
"BWL",900
"VWL",930
"BWL",800
"BWL",800
"BWL",800
"BWL",600
"BWL",750
"BWL",500
"VWL",1530
"VWL",500
"BWL",912
"BWL",550
"BWL",1172
"VWL",700
"BWL",2000
"BWL",1000
"BWL",600
"BWL",670
"BWL",900
"BWL",300
"BWL",1450
"BWL",450
"BWL",1200
"BWL",1032
"BWL",800
"BWL",1100
"BWL",700
"BWL",1100
"VWL",500
"BWL",1000
"BWL",1350
"VWL",550
"BWL",300
"BWL",250
"BWL",300
"BWL",1000
"BWL",1088
"BWL",280
"VWL",300
"BWL",850
"VWL",950
"BWL",250
"VWL",150
"BWL",1000
"BWL",550
"BWL",720
"BWL",1500
"BWL",1300
"BWL",800
"BWL",900
"BWL",400
"BWL",200
"BWL",950
"BWL",1062
"BWL",500
"BWL",400
"BWL",940
"BWL",1100
"VWL",1100
"BWL",680
"BWL",550
"BWL",800
"BWL",1500
"VWL",900
"BWL",1200
"BWL",1100
"VWL",800
"BWL",950
"BWL",720
"BWL",1200
"BWL",1800
"BWL",1100
"BWL",680
"BWL",511
"BWL",1000
"BWL",750
"BWL",1200
"BWL",1000
"BWL",450
"BWL",500
"BWL",250
"BWL",400
"BWL",700
"BWL",1100
"BWL",3500
"BWL",600
"VWL",300
"BWL",1200
"BWL",1500
"VWL",1200
"VWL",750
"BWL",973
"BWL",600
"BWL",1100
"BWL",1700
"BWL",0
"BWL",1600
"BWL",400
"BWL",500
"BWL",650
"BWL",1200
"BWL",1600
"BWL",1000
"BWL",1000
"BWL",1300
"BWL",400
"BWL",130
"BWL",800
"BWL",2000
"BWL",579
"VWL",450
"BWL",700
"BWL",700
"BWL",1100
"BWL",800
"BWL",2000
"BWL",1054
"BWL",700
"VWL",900
"BWL",350
"VWL",250
"BWL",900
"BWL",600
"BWL",400
"BWL",500
"BWL",550
"VWL",606
"BWL",1000
"VWL",1000
"VWL",800
"VWL",460
"VWL",250
"VWL",200
"BWL",500
"BWL",300
"BWL",1200
"BWL",1000
"BWL",511
"BWL",200
"BWL",650
"BWL",1000
"VWL",300
"BWL",90
"BWL",300
"BWL",700
"BWL",900
"BWL",1500
"VWL",745
"BWL",800
"BWL",1400
"BWL",630
"BWL",500
"BWL",1300
"BWL",500
"VWL",450
"BWL",800
"BWL",760
"BWL",1000
"BWL",1700
"BWL",650
"BWL",1000
"BWL",300
"VWL",2286
"BWL",150
"VWL",800
"BWL",1050
"BWL",935
"BWL",700
"VWL",850
"BWL",1500
"BWL",600
"BWL",500
"BWL",300
"BWL",350
"BWL",800
"BWL",400
"BWL",980
"BWL",400
"BWL",930
"BWL",800
"BWL",1400
"BWL",1000
"BWL",1000
"BWL",300
"BWL",1000
"BWL",250
"VWL",450
"BWL",1580
"VWL",900
"VWL",475
"VWL",1300
"BWL",1220
"VWL",900
"BWL",450
"BWL",1050
"BWL",950
"BWL",500
"BWL",1125
"BWL",400
"BWL",1100
"BWL",450
"BWL",900
"BWL",480
"BWL",350
"BWL",250
"BWL",300
"BWL",1350
"VWL",300
"BWL",900
"VWL",500
"BWL",500
"VWL",1000
"BWL",2000
"VWL",900
"VWL",520
"BWL",1500
"BWL",800
"BWL",1300
"BWL",250
"BWL",750
"BWL",750
"BWL",400
"BWL",1250
"BWL",1000
"VWL",700
"BWL",2500
"BWL",300
"VWL",600
"BWL",1500
"BWL",900
"BWL",1400
"BWL",500
"BWL",1500
"BWL",650
"BWL",945
"BWL",800
"BWL",1100
"BWL",1000
"BWL",1000
"BWL",1200
"BWL",1000
"BWL",1000
"BWL",500
"BWL",700
"BWL",600
"BWL",400
"BWL",1000
"VWL",2500
"VWL",900
"BWL",700
"BWL",700
"VWL",150
"BWL",800
"BWL",900
"BWL",500
"BWL",1000
"BWL",650
"BWL",750
"BWL",700
"BWL",1200
"VWL",1200
"BWL",1185
"BWL",800
"BWL",950
"VWL",980
"BWL",350
"BWL",1100
"VWL",1200
"VWL",1000
"BWL",800
"VWL",500
"BWL",400
"BWL",500
"BWL",840
"BWL",1200
"BWL",750
"BWL",1100
"VWL",850
"VWL",750
"VWL",1100
"BWL",500
"BWL",1000
"BWL",500
"VWL",900
"BWL",500
"BWL",800
"VWL",934
"BWL",450
"BWL",1000
"VWL",600
"BWL",500
"BWL",1100
"VWL",520
"BWL",550
"BWL",150
"BWL",500
"VWL",400
"BWL",400
"BWL",450
"BWL",1500
"BWL",100
"BWL",1500
"BWL",1000
"VWL",1500
"BWL",1050
"BWL",900
"BWL",600
"BWL",400
"BWL",1500
"BWL",950
"BWL",300
"BWL",1000
"VWL",280
"BWL",1100
"BWL",650
"BWL",1200
"BWL",500
"BWL",1000
"BWL",1200
"BWL",650
"BWL",1000
"VWL",1000
"BWL",0
"BWL",1270
"BWL",50
"BWL",1320
"BWL",1000
"BWL",300
"BWL",1200
"BWL",1150
"BWL",750
"BWL",2500
"VWL",900
"VWL",1000
