"Studiengang","SozialesEngagement"
"BWL",24
"VWL",0
"VWL",0
"VWL",0
"VWL",0
"VWL",0
"VWL",0
"BWL",0
"BWL",0
"VWL",4
"BWL",0
"VWL",0
"BWL",0
"BWL",0
"BWL",0
"VWL",0
"BWL",0
"VWL",0
"BWL",0
"BWL",0
"BWL",0
"VWL",2
"BWL",0
"BWL",0
"BWL",5
"BWL",0
"BWL",0
"VWL",0
"BWL",6
"VWL",25
"BWL",0
"BWL",0
"VWL",0
"BWL",0
"BWL",1
"BWL",0
"BWL",0
"BWL",0
"BWL",4
"VWL",3
"BWL",0
"VWL",0
"BWL",0
"VWL",2
"BWL",8
"BWL",5
"BWL",0
"VWL",8
"BWL",0
"BWL",8
"BWL",0
"BWL",0
"VWL",12
"BWL",100
"BWL",0
"BWL",0
"BWL",0
"BWL",0
"BWL",0
"BWL",0
"VWL",0
"BWL",0
"VWL",0
"VWL",0
"BWL",5
"BWL",0
"BWL",0
"BWL",0
"BWL",0
"BWL",0
"VWL",8
"BWL",0
"BWL",0
"VWL",10
"VWL",0
"BWL",0
"BWL",8
"VWL",4
"BWL",0
"BWL",0
"BWL",0
"VWL",10
"BWL",0
"BWL",0
"VWL",0
"BWL",0
"BWL",0
"BWL",1
"BWL",0
"BWL",10
"VWL",0
"BWL",0
"VWL",0
"BWL",0
"BWL",8
"BWL",0
"BWL",0
"BWL",0
"BWL",0
"VWL",0
"BWL",0
"BWL",2
"VWL",15
"BWL",0
"BWL",0
"BWL",0
"VWL",0
"VWL",0
"BWL",0
"VWL",0
"VWL",4
"VWL",0
"BWL",0
"BWL",0
"BWL",0
"VWL",0
"BWL",0
"BWL",0
"BWL",10
"BWL",0
"BWL",0
"BWL",12
"BWL",0
"VWL",0
"BWL",0
"BWL",20
"VWL",0
"BWL",0
"BWL",0
"VWL",5
"BWL",0
"BWL",0
"VWL",0
"BWL",15
"BWL",0
"BWL",1
"BWL",0
"BWL",0
"BWL",0
"BWL",0
"BWL",0
"BWL",0
"VWL",0
"VWL",0
"BWL",0
"BWL",15
"BWL",24
"BWL",0
"BWL",0
"BWL",5
"VWL",0
"BWL",80
"BWL",0
"VWL",0
"BWL",0
"BWL",0
"VWL",0
"VWL",0
"BWL",5
"VWL",10
"VWL",0
"BWL",0
"BWL",0
"BWL",0
"BWL",0
"BWL",0
"BWL",0
"BWL",0
"BWL",0
"BWL",0
"BWL",0
"VWL",3
"BWL",0
"BWL",0
"BWL",2
"BWL",0
"BWL",0
"BWL",0
"BWL",4
"BWL",0
"BWL",8
"BWL",3
"BWL",0
"BWL",0
"BWL",0
"VWL",0
"BWL",0
"BWL",0
"BWL",0
"BWL",0
"BWL",0
"VWL",0
"BWL",0
"BWL",0
"BWL",2
"VWL",0
"VWL",0
"BWL",0
"BWL",10
"BWL",0
"BWL",10
"BWL",2
"VWL",0
"BWL",0
"BWL",4
"BWL",0
"BWL",10
"BWL",15
"BWL",0
"BWL",5
"BWL",0
"BWL",0
"BWL",3
"BWL",0
"BWL",0
"BWL",2
"BWL",0
"BWL",0
"VWL",1.5
"BWL",0
"BWL",0
"BWL",0
"BWL",0
"VWL",0
"BWL",0
"BWL",0
"VWL",0
"BWL",90
"BWL",0
"VWL",0
"BWL",0
"BWL",4
"BWL",0
"BWL",20
"BWL",0
"BWL",0
"BWL",0
"BWL",10
"BWL",2
"VWL",8
"BWL",0
"VWL",0
"VWL",15
"BWL",0
"BWL",10
"BWL",0
"VWL",2
"BWL",2
"BWL",0
"BWL",15
"VWL",0
"BWL",0
"BWL",1
"BWL",8
"BWL",10
"BWL",0
"BWL",0
"BWL",0
"BWL",0
"BWL",6
"BWL",0
"BWL",0
"VWL",20
"BWL",1
"BWL",0
"BWL",0
"BWL",8
"BWL",0
"BWL",0
"VWL",14
"BWL",0
"BWL",0
"BWL",0
"BWL",0
"BWL",0
"BWL",0
"BWL",0
"BWL",0
"VWL",0
"BWL",4
"BWL",0
"BWL",0
"VWL",0
"BWL",16
"BWL",0
"BWL",0
"BWL",0
"BWL",0
"BWL",0
"BWL",10
"BWL",0
"BWL",0
"BWL",0
"BWL",15
"BWL",0
"BWL",15
"BWL",0
"BWL",0
"BWL",0
"BWL",1
"BWL",0
"BWL",0
"BWL",0
"BWL",0
"BWL",0
"VWL",0
"BWL",3
"BWL",0
"VWL",6
"VWL",12
"BWL",0
"BWL",0
"BWL",0
"BWL",0
"BWL",0
"BWL",5
"BWL",0
"BWL",0
"BWL",0
"BWL",3
"BWL",4
"BWL",0
"BWL",0
"BWL",0
"BWL",0
"BWL",17.5
"BWL",10
"BWL",0
"BWL",0
"BWL",0
"BWL",0
"BWL",0
"BWL",16
"BWL",0
"BWL",4
"VWL",0
"BWL",20
"BWL",0
"BWL",0
"BWL",0
"BWL",3
"BWL",4
"BWL",0
"BWL",30
"BWL",0
"VWL",0
"BWL",0
"VWL",8
"BWL",0
"BWL",4
"BWL",0
"BWL",5
"BWL",0
"BWL",0
"BWL",0
"BWL",30
"VWL",8
"BWL",4
"VWL",0
"VWL",0
"VWL",0
"BWL",0
"BWL",4
"VWL",8
"VWL",8
"BWL",20
"BWL",0
"BWL",0
"BWL",12
"BWL",0
"BWL",3
"BWL",0
"BWL",0
"VWL",0
"BWL",0
"BWL",2
"BWL",0
"VWL",0
"BWL",0
"BWL",0
"BWL",0
"BWL",0
"BWL",0
"BWL",2
"VWL",0
"BWL",20
"BWL",5
"BWL",32
"BWL",16
"BWL",0
"BWL",0
"VWL",10
"BWL",0
"BWL",8
"BWL",5
"BWL",5
"BWL",0
"BWL",2
"VWL",0
"BWL",10
"BWL",20
"BWL",0
"BWL",0.5
"BWL",0
"BWL",0
"BWL",0
"VWL",80
"BWL",8
"BWL",0
"VWL",0
"BWL",0
"VWL",0
"BWL",0
"BWL",20
"BWL",0
"BWL",0
"BWL",0
"BWL",10
"VWL",20
"BWL",4
"BWL",0
"BWL",0
"BWL",0
"BWL",3
"BWL",0
"BWL",0
"BWL",4
"BWL",0
"BWL",0
"BWL",9
"VWL",4
"BWL",20
"BWL",0
"BWL",0
"BWL",0
"BWL",40
"BWL",20
"BWL",20
"BWL",0
"BWL",150
"BWL",3
"VWL",0
"BWL",8
"VWL",1
"VWL",3
"BWL",0
"BWL",0
"BWL",0
"BWL",0
"VWL",0
"BWL",6
"VWL",5
"BWL",46
"BWL",0
"BWL",0
"BWL",0
"BWL",20
"BWL",5
"BWL",4
"BWL",10
"BWL",1
"BWL",0
"BWL",0
"BWL",0
"BWL",0
"BWL",0
"BWL",0
"VWL",3
"BWL",0
"BWL",0
"BWL",0
"BWL",20
"BWL",0
"VWL",2
"BWL",0
"VWL",0
"BWL",12
"VWL",2
"BWL",6
"VWL",0
"BWL",3
"VWL",11
"BWL",0
"BWL",5
"BWL",0
"BWL",0
"BWL",5
"BWL",0
"BWL",0
"BWL",4
"BWL",1
"BWL",0
"BWL",0
"BWL",0
"BWL",0
"BWL",0
"VWL",0
"BWL",0
"BWL",0
"BWL",0
"VWL",0
"VWL",20
"BWL",0
"VWL",0
"BWL",0
"BWL",0
"BWL",0
"BWL",0
"BWL",0
"BWL",0
"BWL",10
"BWL",0
"BWL",0
"BWL",0
"BWL",0
"BWL",5
"BWL",0
"BWL",0
"BWL",0
"BWL",0
"BWL",0
"BWL",0
"BWL",5
"VWL",0
"BWL",0
"BWL",0
"BWL",0
"BWL",8
"BWL",0
"BWL",0
"BWL",50
"BWL",0
"BWL",0
"BWL",0
"VWL",0
"VWL",8
"BWL",0
"BWL",10
"BWL",8
"VWL",0
"VWL",2
"BWL",0
"BWL",0
"BWL",0
"VWL",0
"BWL",4
"BWL",0
"BWL",0
"VWL",0
"VWL",22
"BWL",0
"BWL",0
"BWL",8
"VWL",0
"VWL",15
"BWL",0
"BWL",4
"BWL",0
"BWL",0
"BWL",0
"VWL",0
"VWL",0
"BWL",0
"BWL",0
"VWL",0
"VWL",10
"BWL",0
"BWL",20
"BWL",0
"BWL",0
"BWL",10
"BWL",20
"BWL",8
"BWL",8
"BWL",0
"BWL",60
"BWL",0
"BWL",0
"BWL",0
"VWL",0
"VWL",0
"VWL",0
"BWL",0
"BWL",0
"BWL",0
"BWL",0
"BWL",0
"BWL",20
"VWL",10
"BWL",0
"BWL",20
"BWL",0
"BWL",0
"BWL",0
"VWL",10
"BWL",0
"BWL",0
"VWL",12
"VWL",4
"BWL",0
"BWL",0
"BWL",0
"VWL",0
"BWL",0
"BWL",4
"VWL",0
"BWL",0
"BWL",0
"BWL",0
"BWL",0
"BWL",0
"BWL",7
"VWL",35
"VWL",0
"BWL",5
"BWL",0
"BWL",0
"BWL",0
"BWL",2
"BWL",0
"VWL",8
"BWL",0
"BWL",0
"BWL",0
"BWL",0
"BWL",1
"BWL",20
"BWL",0
"BWL",5
"BWL",0
"VWL",0
"BWL",0
"BWL",0
"BWL",0
"BWL",0
"BWL",0
"BWL",0
"BWL",5
"BWL",0
"BWL",4
"BWL",0
"BWL",0
"VWL",3
"BWL",0
"BWL",0
"BWL",0
"BWL",0
"BWL",0
"BWL",0
"BWL",0
"BWL",24
"BWL",0
"BWL",0
"VWL",10
"BWL",0
"VWL",2
"BWL",0
"VWL",0
"BWL",0
"BWL",5
