"datum","siemens","zalando"
2022-07-01,-1.1227,4.7676
2022-07-04,1.375,-3.7859
2022-07-05,-3.6786,-5.4054
2022-07-06,2.4643,5.7563
2022-07-07,1.7283,5.7211
2022-07-08,2.1799,1.9166
2022-07-11,-3.0449,-3.9086
2022-07-12,0.8574,0.921
2022-07-13,-1.5569,-3.9544
2022-07-14,-0.2601,0.7522
2022-07-15,4.4231,0.9823
2022-07-18,1.0989,5.1362
2022-07-19,4.5257,3.775
2022-07-20,1.021,1.6762
2022-07-21,0.262,0.1403
2022-07-22,-1.6054,4.2382
2022-07-25,-0.9676,-3.1586
2022-07-26,-1.4943,-9.8196
2022-07-27,1.6336,1.5391
2022-07-28,1.5117,-2.7283
2022-07-29,2.2997,6.5446
2022-08-01,-1.4004,-1.3528
2022-08-02,-0.5793,-3.1875
2022-08-03,1.0714,5.8193
2022-08-04,1.5994,13.097
2022-08-05,-0.5675,-1.3116
2022-08-08,0.6996,1.5883
2022-08-09,-2.6325,-5.903
2022-08-10,2.4972,6.2055
2022-08-11,0.6778,1.9476
2022-08-12,1.7467,0.1879
2022-08-15,0.3219,-1.7505
2022-08-16,-0.1426,-2.1635
2022-08-17,-3.0346,-7.6098
2022-08-18,1.4912,-4.6463
2022-08-19,-1.8683,-1.7719
2022-08-22,-4.159,-6.0504
2022-08-23,-0.4822,-1
2022-08-24,1.6085,0.3636
2022-08-25,0.4005,-1.7713
2022-08-26,-2.2606,-4.6311
2022-08-29,-0.6608,0.3868
2022-08-30,1.487,1.8836
2022-08-31,-2.5641,-2.8992
2022-09-01,-1.4444,-4.5868
2022-09-02,5.2801,4.5805
2022-09-05,-2.6888,-2.732
2022-09-06,1.4305,2.7642
2022-09-07,0.908,-1.3449
2022-09-08,-1.2828,-2.0668
2022-09-09,1.8231,3.1432
2022-09-12,2.4571,5.0501
2022-09-13,-2.8072,-8.3299
2022-09-14,-1.7598,-2.0796
2022-09-15,-0.6815,1.2004
2022-09-16,-1.8428,-1.1405
2022-09-19,0.8588,-1.569
2022-09-20,-1.6139,0.2813
2022-09-21,1.5397,-0.1403
2022-09-22,-1.8236,-6.367
2022-09-23,-0.4341,-2.25
2022-09-26,-0.3853,0.8184
2022-09-27,-0.3359,2.0294
2022-09-28,1.5727,2.8841
2022-09-29,-1.2065,-6.1624
2022-09-30,2.9921,4.1978
2022-10-03,-0.2767,0.8403
2022-10-04,5.3508,8.2843
2022-10-05,-1.9564,-5.2512
2022-10-06,0.8634,3.2011
2022-10-07,-2.3588,-4.4907
2022-10-10,1.1884,0.1454
2022-10-11,-0.7509,4.6467
2022-10-12,-0.6402,-1.5726
2022-10-13,2.7333,4.1353
2022-10-14,-1.0262,0.6769
2022-10-17,2.7458,4.4823
2022-10-18,1.2147,0.6435
2022-10-19,-0.3139,-1.705
2022-10-20,-0.0741,1.6479
2022-10-21,-0.9824,-3.157
2022-10-24,2.8079,-0.3524
2022-10-25,1.2746,6.6313
2022-10-26,1.0068,6.592
2022-10-27,-0.1424,-2.0226
2022-10-28,-0.6774,-4.0095
2022-10-31,-0.7179,-3.5153
2022-11-01,1.5004,4.1577
2022-11-02,-1.7631,-5.8436
2022-11-03,-2.0123,8.1294
2022-11-04,4.5698,1.3743
2022-11-07,1.3447,1.3955
2022-11-08,1.7284,4.4436
2022-11-09,-0.6693,-2.5226
2022-11-10,4.2674,13.7505
2022-11-11,1.5742,12.3939
2022-11-14,0.2121,3.9577
2022-11-15,0.2116,-1.7727
2022-11-16,-1.6244,-5.4142
2022-11-17,6.9848,-3.0028
2022-11-18,2.2534,-3.257
2022-11-21,-2.566,-2.2667
2022-11-22,1.2239,-2.251
2022-11-23,0,1.5003
2022-11-24,0.2143,3.0938
2022-11-25,0.84,-2.9343
2022-11-28,-0.3938,-0.8588
2022-11-29,1.1707,1.3514
2022-11-30,-1.3977,1.6752
2022-12-01,1.8595,4.2367
2022-12-02,0.7781,1.9032
2022-12-05,0.5494,-2.2475
2022-12-06,-1.2404,0.7448
2022-12-07,-0.6429,0.9
2022-12-08,-0.6772,-0.4141
2022-12-09,1.0909,-0.032
2022-12-12,0.6445,5.088
2022-12-13,0.417,6.3337
2022-12-14,-1.3644,-1.26
2022-12-15,-4.1347,-7.7146
2022-12-16,-0.345,0.0943
2022-12-19,0.7397,-0.6593
2022-12-20,-0.1875,-1.5487
2022-12-21,1.6591,5.9069
2022-12-22,-1.0316,-3.0312
2022-12-23,-0.0156,2.0944
2022-12-27,0.7624,0.7961
2022-12-28,-0.8493,-0.0911
2022-12-29,1.573,4.1046
2022-12-30,-0.6133,-3.3002
2023-01-02,0.1388,5.7989
2023-01-03,0.8627,2.9403
2023-01-04,3.3145,4.4093
2023-01-05,-0.3253,1.992
2023-01-06,0.9641,2.3958
2023-01-09,1.616,2.238
2023-01-10,-0.1446,-3.01
2023-01-11,1.4623,4.0523
2023-01-12,1.3556,3.2783
2023-01-13,0.2675,1.6468
2023-01-16,-0.0842,4.2029
2023-01-17,1.8831,-3.6954
2023-01-18,-0.0276,0.1638
2023-01-19,-3.0077,-4.3448
2023-01-20,0.9104,4.9817
2023-01-23,1.4378,-0.093
2023-01-24,-0.4308,-2.2352
2023-01-25,-0.335,-0.8097
2023-01-26,0.8682,3.1933
2023-01-27,0.3054,0.9772
2023-01-30,-0.8581,-2.0737
2023-01-31,-0.2513,0.2118
2023-02-01,0.07,0.0235
2023-02-02,0.5035,5.3756
2023-02-03,0.9045,1.5148
2023-02-06,-1.4205,-5.5958
2023-02-07,-1.4689,-0.2325
2023-02-08,-0.5679,-1.8406
2023-02-09,6.6829,1.3292
2023-02-10,-2.4629,-7.0743
2023-02-13,0.2882,1.1092
2023-02-14,-0.78,-1.1967
2023-02-15,2.3997,1.2617
2023-02-16,-0.7542,-2.2925
2023-02-17,-1.3163,1.4537
2023-02-20,-0.5363,0.176
2023-02-21,-0.636,-1.857
2023-02-22,0.4174,-1.5597
2023-02-23,1.1362,1.3766
2023-02-24,-3.0963,-3.1002
2023-02-27,1.6542,-0.4759
2023-02-28,0.6259,-0.1063
2023-03-01,0.4423,-1.25
2023-03-02,-0.6055,-0.7541
2023-03-03,1.8137,5.0475
2023-03-06,0.2992,1.0592
2023-03-07,0.3389,-3.3742
2023-03-08,1.2161,-0.0265
2023-03-09,0.8944,-2.8314
2023-03-10,-2.4213,-2.5871
2023-03-13,-4.4339,-0.9785
2023-03-14,3.2775,1.9481
2023-03-15,-5.1381,-4.8186
2023-03-16,2.071,0.4655
2023-03-17,-2.5539,-1.1584
2023-03-20,1.0629,-1.5529
2023-03-21,2.8526,-0.119
2023-03-22,1.5128,2.205
2023-03-23,0.1656,2.6531
2023-03-24,-3.1685,-3.5501
2023-03-27,0.7682,2.0024
2023-03-28,1.313,0.9238
2023-03-29,1.937,2.46
2023-03-30,1.5174,5.3322
2023-03-31,0.4982,2.1468
2023-04-03,-0.67,-1.0898
2023-04-04,-0.4721,0.787
2023-04-05,-2.4532,-3.2535
2023-04-06,-1.9591,-0.9685
2023-04-11,1.5731,1.9017
2023-04-12,1.0325,-3.839
2023-04-13,-0.3729,2.5506
2023-04-14,1.303,1.7032
2023-04-17,0.6158,-0.824
2023-04-18,0.0952,0.7237
2023-04-19,-0.4212,-0.1064
2023-04-20,-0.3957,-0.3463
2023-04-21,-0.2466,0.1069
2023-04-24,0.0137,-2.1629
2023-04-25,1.1808,-2.2107
2023-04-26,-1.1535,1.2001
2023-04-27,1.1532,1.7099
2023-04-28,1.0451,0.7863
2023-05-02,-1.0611,-3.6589
2023-05-03,1.4662,-2.1223
2023-05-04,-0.6556,-7.0185
2023-05-05,1.3333,0.1841
2023-05-08,-0.4386,-0.0919
2023-05-09,0.5473,-2.851
2023-05-10,-0.9825,-1.0413
2023-05-11,-0.2011,1.8495
2023-05-12,0.833,0.814
2023-05-15,0.3464,-1.4596
2023-05-16,-0.6772,-2.8364
2023-05-17,2.5535,0.519
2023-05-18,2.8158,0.6454
2023-05-19,1.2933,-1.026
2023-05-22,-1.1641,0.1296
2023-05-23,-1.5704,-2.6529
2023-05-24,-2.0458,-3.556
2023-05-25,0.9063,-1.8608
2023-05-26,1.9787,-0.316
2023-05-29,-0.434,-0.951
2023-05-30,0.4231,-1.2091
2023-05-31,-2.1192,-2.6638
2023-06-01,2.1782,-2.071
2023-06-02,1.6594,2.4169
2023-06-05,-0.4771,-3.7979
2023-06-06,-0.1009,-2.2231
2023-06-07,0.0631,-2.6656
2023-06-08,0.1893,-0.7249
2023-06-09,-0.3905,-1.2576
2023-06-12,1.6694,1.5612
2023-06-13,2.2888,2.589
2023-06-14,-0.073,4.1798
2023-06-15,0.8762,-2.536
2023-06-16,-1.2064,3.534
2023-06-19,-0.2931,-1.7629
2023-06-20,-1.09,-1.6037
2023-06-21,-0.7058,-0.6597
2023-06-22,0.0873,3.9062
2023-06-23,-2.2053,0.188
2023-06-26,-0.9555,1.8762
2023-06-27,1.3378,2.3941
2023-06-28,-3.0718,-5.7554
2023-06-29,-1.4013,0
2023-06-30,1.3016,0.6107
2023-07-03,-2.4649,-1.9727
2023-07-04,-1.1964,0.4257
2023-07-05,-0.7891,-2.3121
2023-07-06,-2.4822,-4.7337
2023-07-07,0.2813,2.236
2023-07-10,1.234,0.81
2023-07-11,1.1082,3.6159
2023-07-12,2.2469,10.5079
2023-07-13,0.8308,-0.4912
2023-07-14,0.0664,-0.5289
2023-07-17,-0.4515,-0.6735
2023-07-18,0.1868,4.4968
2023-07-19,-1.1585,1.6052
2023-07-20,1.9803,1.3782
2023-07-21,0.1321,2.8183
2023-07-24,-0.3298,-0.6127
2023-07-25,0.4633,1.7197
2023-07-26,-0.6061,-2.0096
2023-07-27,3.1813,2.0508
2023-07-28,-0.8993,-0.1914
2023-07-31,0.4537,0.3516
2023-08-01,-2.9165,-3.4713
2023-08-02,-1.7546,-3.2662
2023-08-03,-1.0553,6.9577
2023-08-04,1.764,-1.5306
2023-08-07,-0.3091,0.5829
2023-08-08,-1.8197,-2.962
2023-08-09,0.5491,-4.3132
2023-08-10,-4.7925,1.8724
2023-08-11,-1.4628,-3.2335
2023-08-14,0.946,-1.7235
2023-08-15,-0.7641,-1.1811
2023-08-16,0.3342,-0.6157
2023-08-17,-1.6652,0.1093
2023-08-18,-1.0455,-3.6767
2023-08-21,0.3869,0.4157
2023-08-22,1.4675,0.6022
2023-08-23,0.073,0.7108
2023-08-24,-1.0219,-1.7088
2023-08-25,0.59,-0.0378
2023-08-28,1.173,2.4197
2023-08-29,1.5072,3.0639
2023-08-30,-1.2707,-0.6805
2023-08-31,0.4194,3.6062
2023-09-01,-0.9937,-1.079
